,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
1,10100.0,9900.0,9900.0,10100.0,9900.0,10100.0,9900.0,10100.0,9900.0,9900.0,10100.0,9900.0,10100.0,10100.0,9900.0,10100.0,10100.0,9900.0,10100.0,9900.0,10100.0,10100.0,10100.0,10100.0,9900.0,10100.0,10100.0,10100.0,10100.0,9900.0,9900.0,9900.0,10100.0,9900.0,9900.0,10100.0,10100.0,10100.0,9900.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,10100.0,9900.0,10100.0,10100.0,9900.0,9900.0,9900.0,9900.0,9900.0,10100.0,9900.0,10100.0,9900.0,10100.0,9900.0,9900.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,10100.0,9900.0,10100.0,10100.0,9900.0,9900.0,9900.0,9900.0,10100.0,9900.0,10100.0,10100.0,9900.0,10100.0,10100.0,9900.0,9900.0,9900.0,10100.0,9900.0,9900.0
2,9999.0,9999.0,9999.0,9999.0,9999.0,10201.0,9801.0,9999.0,9801.0,9999.0,9999.0,9801.0,10201.0,9999.0,9999.0,9999.0,9999.0,9801.0,10201.0,9999.0,10201.0,9999.0,9999.0,10201.0,9801.0,10201.0,10201.0,10201.0,9999.0,9801.0,9801.0,9999.0,9999.0,9801.0,9801.0,9999.0,9999.0,10201.0,9999.0,10201.0,9999.0,10201.0,9999.0,9999.0,9999.0,9999.0,9999.0,10201.0,9999.0,9999.0,9801.0,9801.0,9801.0,9999.0,9999.0,9999.0,10201.0,10201.0,9801.0,9999.0,9999.0,9801.0,9999.0,10201.0,9801.0,9999.0,9999.0,10201.0,9801.0,9801.0,10201.0,10201.0,9999.0,9999.0,9999.0,9999.0,9999.0,10201.0,9999.0,10201.0,9999.0,9999.0,9999.0,9801.0,9801.0,9999.0,9801.0,9999.0,9999.0,9999.0,9999.0,9801.0,9999.0,9999.0,9999.0,9801.0,9999.0,9999.0,9999.0,9999.0
3,10098.99,9899.01,9899.01,9899.01,10098.99,10098.99,9702.99,9899.01,9702.99,10098.99,10098.99,9899.01,10303.01,9899.01,9899.01,10098.99,9899.01,9702.99,10098.99,9899.01,10098.99,10098.99,9899.01,10098.99,9702.99,10303.01,10303.01,10098.99,10098.99,9702.99,9702.99,9899.01,9899.01,9702.99,9899.01,9899.01,10098.99,10303.01,9899.01,10303.01,10098.99,10098.99,10098.99,9899.01,10098.99,9899.01,10098.99,10098.99,10098.99,9899.01,9702.99,9899.01,9702.99,9899.01,9899.01,10098.99,10098.99,10303.01,9899.01,9899.01,10098.99,9899.01,9899.01,10303.01,9702.99,9899.01,10098.99,10303.01,9702.99,9899.01,10098.99,10303.01,10098.99,10098.99,10098.99,9899.01,10098.99,10098.99,9899.01,10098.99,10098.99,9899.01,10098.99,9899.01,9899.01,9899.01,9899.01,9899.01,9899.01,9899.01,10098.99,9702.99,9899.01,9899.01,10098.99,9899.01,10098.99,9899.01,10098.99,9899.01
4,10199.9799,9800.0199,9998.000100000001,9998.000100000001,9998.0001,9998.0001,9605.9601,9800.0199,9605.9601,9998.0001,10199.9799,9800.0199,10406.0401,9998.000100000001,9998.000100000001,10199.9799,9800.0199,9800.0199,9998.0001,9800.0199,9998.0001,9998.0001,9800.0199,9998.0001,9605.9601,10406.0401,10199.9799,10199.9799,9998.0001,9800.0199,9800.0199,9998.000100000001,9998.000100000001,9800.0199,9800.0199,9800.0199,10199.9799,10406.0401,9800.0199,10199.9799,10199.9799,10199.9799,10199.9799,9800.0199,9998.0001,9800.0199,10199.9799,10199.9799,9998.0001,9998.000100000001,9800.0199,9998.000100000001,9800.0199,9800.0199,9998.000100000001,10199.9799,9998.0001,10199.9799,9800.0199,9998.000100000001,10199.9799,9998.000100000001,9998.000100000001,10406.0401,9800.0199,9998.000100000001,9998.0001,10406.0401,9605.9601,9800.0199,10199.9799,10406.0401,9998.0001,10199.9799,10199.9799,9800.0199,9998.0001,10199.9799,9998.000100000001,10199.9799,9998.0001,9800.0199,10199.9799,9800.0199,9800.0199,9998.000100000001,9800.0199,9998.000100000001,9800.0199,9998.000100000001,9998.0001,9605.9601,9800.0199,9800.0199,9998.0001,9998.000100000001,10199.9799,9998.000100000001,9998.0001,9998.000100000001
5,10097.980101000001,9898.020099,9898.020099000001,9898.020099000001,9898.020099,10097.980101,9702.019701000001,9702.019701,9509.900499,9898.020099,10301.979699,9898.020099,10510.100501,9898.020099000001,9898.020099000001,10301.979699,9898.020099,9898.020099,9898.020099,9898.020099,10097.980101,9898.020099,9898.020099,9898.020099,9509.900499,10510.100501,10097.980101000001,10097.980101000001,9898.020099,9898.020099,9702.019701,9898.020099000001,10097.980101000001,9702.019701,9898.020099,9898.020099,10301.979699,10510.100501,9898.020099,10301.979699,10301.979699,10301.979699,10097.980101000001,9702.019701,9898.020099,9702.019701,10301.979699,10301.979699,9898.020099,10097.980101000001,9898.020099,9898.020099000001,9702.019701,9702.019701,9898.020099000001,10097.980101000001,10097.980101,10097.980101000001,9898.020099,9898.020099000001,10301.979699,10097.980101000001,10097.980101000001,10510.100501,9702.019701,9898.020099000001,10097.980101,10301.979699,9509.900499,9898.020099,10097.980101000001,10510.100501,9898.020099,10097.980101000001,10301.979699,9702.019701,10097.980101,10301.979699,10097.980101000001,10301.979699,9898.020099,9702.019701,10301.979699,9898.020099,9898.020099,10097.980101000001,9898.020099,10097.980101000001,9702.019701,9898.020099000001,9898.020099,9702.019701000001,9898.020099,9898.020099,9898.020099,10097.980101000001,10301.979699,9898.020099000001,10097.980101,10097.980101000001
6,10198.959902010001,9799.03989801,9997.00029999,9799.039898010002,9997.000299989999,10198.95990201,9799.039898010002,9799.03989801,9414.80149401,9997.000299989999,10198.95990201,9799.03989801,10615.20150601,9997.00029999,9997.00029999,10198.95990201,9799.03989801,9997.000299989999,9997.000299989999,9997.000299989999,10198.95990201,9799.03989801,9799.03989801,9799.03989801,9414.80149401,10404.999495990001,10198.959902010001,10198.959902010001,9997.000299989999,9997.000299989999,9604.999503989999,9997.00029999,10198.959902010001,9799.03989801,9799.03989801,9799.03989801,10198.95990201,10404.999495990001,9997.000299989999,10404.99949599,10198.95990201,10198.95990201,9997.00029999,9799.03989801,9997.000299989999,9604.999503989999,10404.99949599,10198.95990201,9799.03989801,9997.00029999,9997.000299989999,9799.039898010002,9799.03989801,9604.999503989999,9997.00029999,9997.00029999,10198.95990201,10198.959902010001,9997.000299989999,9799.039898010002,10198.95990201,9997.00029999,9997.00029999,10615.20150601,9799.03989801,9997.00029999,10198.95990201,10198.95990201,9414.80149401,9799.03989801,10198.959902010001,10404.999495990001,9799.03989801,10198.959902010001,10404.99949599,9799.03989801,9997.000299989999,10198.95990201,10198.959902010001,10404.99949599,9799.03989801,9799.03989801,10198.95990201,9997.000299989999,9799.03989801,9997.00029999,9997.000299989999,9997.00029999,9799.03989801,9799.039898010002,9997.000299989999,9799.039898010002,9997.000299989999,9997.000299989999,9799.03989801,9997.00029999,10198.95990201,9997.00029999,10198.95990201,10198.959902010001
7,10096.970302989901,9897.0302969901,10096.970302989901,9701.049499029901,10096.9703029899,10096.9703029899,9897.030296990102,9897.0302969901,9320.6534790699,9897.030296990099,10096.9703029899,9897.0302969901,10509.0494909499,9897.0302969901,9897.0302969901,10096.9703029899,9897.0302969901,9897.030296990099,10096.9703029899,9897.030296990099,10300.9495010301,9897.0302969901,9701.0494990299,9701.0494990299,9508.9495089501,10300.949501030102,10300.949501030102,10300.949501030102,9897.030296990099,10096.9703029899,9701.0494990299,9897.0302969901,10096.970302989901,9701.0494990299,9701.0494990299,9701.0494990299,10300.9495010301,10509.049490949901,9897.030296990099,10509.0494909499,10300.9495010301,10096.9703029899,9897.0302969901,9701.0494990299,9897.030296990099,9508.949508950098,10300.9495010301,10096.9703029899,9701.0494990299,10096.970302989901,10096.9703029899,9897.030296990102,9897.0302969901,9701.0494990299,10096.970302989901,10096.970302989901,10300.9495010301,10300.949501030102,10096.9703029899,9701.049499029901,10096.9703029899,10096.970302989901,10096.970302989901,10509.0494909499,9701.0494990299,10096.970302989901,10096.9703029899,10096.9703029899,9320.6534790699,9897.0302969901,10096.970302989901,10509.049490949901,9897.0302969901,10096.970302989901,10509.0494909499,9897.0302969901,9897.030296990099,10096.9703029899,10096.970302989901,10509.0494909499,9701.0494990299,9701.0494990299,10300.9495010301,10096.9703029899,9897.0302969901,9897.0302969901,10096.9703029899,9897.0302969901,9701.0494990299,9701.049499029901,10096.9703029899,9701.049499029901,10096.9703029899,9897.030296990099,9897.0302969901,10096.970302989901,10300.9495010301,10096.970302989901,10096.9703029899,10096.970302989901
8,9996.000599960002,9996.000599960002,10197.9400060198,9604.039004039601,9996.00059996,10197.940006019799,9798.059994020201,9996.000599960002,9413.8600138606,9798.059994020197,9996.00059996,9996.000599960002,10614.139985859398,9996.000599960002,9996.000599960002,10197.940006019799,9996.000599960002,9798.059994020197,10197.940006019799,9996.00059996,10403.958996040401,9996.000599960002,9798.0599940202,9798.0599940202,9604.039004039601,10403.958996040403,10403.958996040403,10197.9400060198,9996.00059996,10197.940006019799,9604.0390040396,9798.0599940202,9996.000599960002,9798.0599940202,9798.0599940202,9604.0390040396,10197.940006019799,10403.958996040403,9798.059994020197,10403.958996040401,10197.940006019799,9996.00059996,9996.000599960002,9604.0390040396,9798.059994020197,9413.860013860596,10403.958996040401,10197.940006019799,9604.0390040396,10197.9400060198,10197.940006019799,9798.059994020201,9798.0599940202,9798.0599940202,10197.9400060198,9996.000599960002,10197.940006019799,10197.9400060198,10197.940006019799,9798.059994020201,10197.940006019799,9996.000599960002,10197.9400060198,10403.958996040401,9798.0599940202,9996.000599960002,10197.940006019799,9996.00059996,9227.446944279201,9798.0599940202,9996.000599960002,10403.958996040403,9996.000599960002,10197.9400060198,10614.139985859398,9798.0599940202,9996.00059996,9996.00059996,9996.000599960002,10614.139985859398,9604.0390040396,9798.0599940202,10403.958996040401,9996.00059996,9798.0599940202,9996.000599960002,9996.00059996,9996.000599960002,9604.0390040396,9798.059994020201,10197.940006019799,9604.039004039601,10197.940006019799,9996.00059996,9798.0599940202,10197.9400060198,10403.958996040401,10197.9400060198,10197.940006019799,10197.9400060198
9,9896.040593960402,9896.040593960402,10299.919406079998,9507.998613999205,10095.960605959599,10299.919406079996,9896.040593960402,10095.9606059596,9319.721413721994,9896.040593960399,10095.960605959599,10095.9606059596,10720.281385717992,9896.040593960402,10095.9606059596,10095.9606059596,9896.040593960402,9896.040593960399,10095.9606059596,10095.960605959599,10299.919406079996,10095.9606059596,9700.079394079998,9700.079394079998,9507.998613999205,10507.998586000807,10299.919406079998,10095.960605959603,9896.0405939604,10095.9606059596,9507.998613999203,9896.0405939604,9896.040593960402,9896.0405939604,9896.0405939604,9700.079394079996,10299.919406079996,10299.919406079998,9700.079394079996,10507.998586000806,10095.9606059596,10095.960605959599,10095.9606059596,9700.079394079996,9700.079394079996,9319.72141372199,10507.998586000806,10299.919406079996,9507.998613999203,10299.919406079998,10095.9606059596,9896.040593960402,9896.0405939604,9896.0405939604,10299.919406079998,10095.9606059596,10095.9606059596,10299.919406079998,10095.9606059596,9700.07939408,10299.919406079996,10095.9606059596,10299.919406079998,10299.919406079996,9896.0405939604,10095.9606059596,10299.919406079996,10095.960605959599,9319.721413721994,9896.0405939604,10095.9606059596,10299.919406079998,9896.040593960402,10095.960605959603,10507.998586000804,9896.0405939604,9896.0405939604,9896.0405939604,9896.040593960402,10507.998586000804,9507.998613999203,9700.079394079998,10299.919406079996,10095.960605959599,9700.079394079998,9896.040593960402,10095.960605959599,10095.9606059596,9700.079394079996,9700.07939408,10095.9606059596,9507.998613999205,10095.9606059596,10095.960605959599,9700.079394079998,10095.960605959603,10299.919406079996,10299.919406079998,10299.919406079996,10299.919406079998
