,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss
0,10000,2500.0,1,0,T,1.0,Lose,0,H,,10000,2500.0,0,0,T,0.0,Win,1,T,,10000,2500.0,0,0,T,0.0,Win,1,T,,10000,2500.0,1,0,T,1.0,Lose,0,H,,10000,2500.0,0,0,T,0.0,Win,1,T,,10000,2500.0,0,0,T,0.0,Win,1,T,,10000,2500.0,1,0,T,1.0,Lose,0,H,,10000,2500.0,1,0,T,1.0,Lose,0,H,,10000,2500.0,1,0,T,1.0,Lose,0,H,,10000,2500.0,0,0,T,0.0,Win,1,T
1,7500.0,1875.0,1,1,H,0.5,Lose,1,T,,12500.0,3125.0,0,1,H,0.0,Lose,2,T,,12500.0,3125.0,0,1,H,0.0,Lose,2,T,,7500.0,1875.0,2,1,H,1.0,Win,0,H,,12500.0,3125.0,1,1,H,0.5,Win,1,H,,12500.0,3125.0,1,1,H,0.5,Win,1,H,,7500.0,1875.0,2,1,H,1.0,Win,0,H,,7500.0,1875.0,1,1,H,0.5,Lose,1,T,,7500.0,1875.0,1,1,H,0.5,Lose,1,T,,12500.0,3125.0,1,1,H,0.5,Win,1,H
2,5625.0,1406.25,1,2,H,0.3,Lose,2,T,,9375.0,2343.75,1,2,H,0.3,Win,2,H,,9375.0,2343.75,1,2,H,0.3,Win,2,H,,9375.0,2343.75,2,2,T,0.7,Win,1,T,,15625.0,3906.25,1,2,H,0.3,Lose,2,T,,15625.0,3906.25,1,2,H,0.3,Lose,2,T,,9375.0,2343.75,2,2,T,0.7,Win,1,T,,5625.0,1406.25,1,2,H,0.3,Lose,2,T,,5625.0,1406.25,1,2,H,0.3,Lose,2,T,,15625.0,3906.25,1,2,H,0.3,Lose,2,T
3,4218.75,1054.6875,1,3,H,0.2,Lose,3,T,,11718.75,2929.6875,2,3,H,0.5,Win,2,H,,11718.75,2929.6875,2,3,H,0.5,Win,2,H,,11718.75,2929.6875,2,3,H,0.5,Lose,2,T,,11718.75,2929.6875,2,3,H,0.5,Win,2,H,,11718.75,2929.6875,2,3,H,0.5,Win,2,H,,11718.75,2929.6875,2,3,H,0.5,Lose,2,T,,4218.75,1054.6875,1,3,H,0.2,Lose,3,T,,4218.75,1054.6875,1,3,H,0.2,Lose,3,T,,11718.75,2929.6875,1,3,H,0.2,Lose,3,T
4,3164.0625,791.015625,2,4,H,0.4,Win,3,H,,14648.4375,3662.109375,3,4,H,0.6,Win,2,H,,14648.4375,3662.109375,3,4,H,0.6,Win,2,H,,8789.0625,2197.265625,2,4,H,0.4,Lose,3,T,,14648.4375,3662.109375,3,4,H,0.6,Win,2,H,,14648.4375,3662.109375,3,4,H,0.6,Win,2,H,,8789.0625,2197.265625,2,4,H,0.4,Lose,3,T,,3164.0625,791.015625,2,4,H,0.4,Win,3,H,,3164.0625,791.015625,1,4,H,0.2,Lose,4,T,,8789.0625,2197.265625,2,4,H,0.4,Win,3,H
5,3955.078125,988.76953125,3,5,H,0.5,Win,3,H,,18310.546875,4577.63671875,4,5,H,0.7,Win,2,H,,18310.546875,4577.63671875,3,5,H,0.5,Lose,3,T,,6591.796875,1647.94921875,3,5,H,0.5,Win,3,H,,18310.546875,4577.63671875,3,5,H,0.5,Lose,3,T,,18310.546875,4577.63671875,4,5,H,0.7,Win,2,H,,6591.796875,1647.94921875,3,5,H,0.5,Win,3,H,,3955.078125,988.76953125,3,5,H,0.5,Win,3,H,,2373.046875,593.26171875,1,5,H,0.2,Lose,5,T,,10986.328125,2746.58203125,3,5,H,0.5,Win,3,H
6,4943.84765625,1235.9619140625,4,6,H,0.6,Win,3,H,,22888.18359375,5722.0458984375,4,6,T,0.6,Win,3,T,,13732.91015625,3433.2275390625,4,6,H,0.6,Win,3,H,,8239.74609375,2059.9365234375,3,6,H,0.4,Lose,4,T,,13732.91015625,3433.2275390625,3,6,H,0.4,Lose,4,T,,22888.18359375,5722.0458984375,5,6,T,0.7,Lose,2,H,,8239.74609375,2059.9365234375,4,6,H,0.6,Win,3,H,,4943.84765625,1235.9619140625,3,6,H,0.4,Lose,4,T,,1779.78515625,444.9462890625,2,6,H,0.3,Win,5,H,,13732.91015625,3433.2275390625,4,6,H,0.6,Win,3,H
7,6179.8095703125,1544.952392578125,5,7,H,0.6,Win,3,H,,28610.2294921875,7152.557373046875,4,7,H,0.5,Lose,4,T,,17166.1376953125,4291.534423828125,4,7,H,0.5,Lose,4,T,,6179.8095703125,1544.952392578125,3,7,H,0.4,Lose,5,T,,10299.6826171875,2574.920654296875,3,7,H,0.4,Lose,5,T,,17166.1376953125,4291.534423828125,6,7,T,0.8,Lose,2,H,,10299.6826171875,2574.920654296875,4,7,H,0.5,Lose,4,T,,3707.8857421875,926.971435546875,4,7,H,0.5,Win,4,H,,2224.7314453125,556.182861328125,2,7,H,0.2,Lose,6,T,,17166.1376953125,4291.534423828125,5,7,H,0.6,Win,3,H
8,7724.761962890625,1931.1904907226562,5,8,T,0.6,Win,4,T,,21457.672119140625,5364.418029785156,5,8,H,0.6,Win,4,H,,12874.603271484375,3218.6508178710938,5,8,H,0.6,Win,4,H,,4634.857177734375,1158.7142944335938,3,8,H,0.3,Lose,6,T,,7724.761962890625,1931.1904907226562,3,8,H,0.3,Lose,6,T,,12874.603271484375,3218.6508178710938,7,8,T,0.8,Lose,2,H,,7724.761962890625,1931.1904907226562,4,8,H,0.4,Lose,5,T,,4634.857177734375,1158.7142944335938,5,8,H,0.6,Win,4,H,,1668.548583984375,417.13714599609375,2,8,H,0.2,Lose,7,T,,21457.672119140625,5364.418029785156,5,8,T,0.6,Win,4,T
9,9655.952453613281,2413.9881134033203,5,9,H,0.5,Lose,5,T,,26822.09014892578,6705.522537231445,6,9,H,0.6,Win,4,H,,16093.254089355469,4023.313522338867,6,9,H,0.6,Win,4,H,,3476.1428833007812,869.0357208251953,3,9,H,0.3,Lose,7,T,,5793.571472167969,1448.3928680419922,4,9,H,0.4,Win,6,H,,9655.952453613281,2413.9881134033203,7,9,T,0.7,Win,3,T,,5793.571472167969,1448.3928680419922,5,9,H,0.5,Win,5,H,,5793.571472167969,1448.3928680419922,5,9,H,0.5,Lose,5,T,,1251.4114379882812,312.8528594970703,3,9,H,0.3,Win,7,H,,26822.09014892578,6705.522537231445,5,9,H,0.5,Lose,5,T
